code,name,p1_animal,p2_plant,p3_evo,p4_bioch,t1,t2,rank
United Kingdom 4,Brandon Trevor Tang,46.000,39.500,61.650,84.800,23.250,27.750,23.000
Chinese Taipei (Taiwan) 1,Geng-Yu Shen,56.900,46.000,60.400,80.950,21.250,25.750,24.000
Turkey 2,Ismail Hakki Dur,53.300,37.760,59.250,72.100,27.000,23.500,25.000
Germany 2,Paul Bunk,51.400,39.070,59.750,45.850,25.500,28.000,26.000
Russia 2,Danil Afonin,51.700,17.760,59.300,19.900,32.500,29.500,27.000
South Korea 3,Jonghan Park,39.400,40.050,60.200,79.850,27.750,23.500,28.000
South Korea 2,Jaewon Lee,31.500,35.225,55.150,83.200,26.750,28.250,29.000
India 1,Kunjal Parnami,42.500,32.925,48.400,78.450,30.250,24.000,30.000
Iran 1,Sara - Mohammadi,50.900,35.020,56.950,73.900,24.250,25.750,31.000
Czech 1,Vojtech Broz,58.700,22.375,50.700,51.950,29.750,25.500,32.000
Indonesia 3,Samuel Kevin Pasaribu,40.000,49.550,49.400,54.950,25.250,27.500,33.000
Indonesia 2,Syailendra Karuna Sugito,50.100,42.580,50.650,78.750,23.500,25.000,34.000
South Korea 4,Junyoung Eugene Byeon,50.600,26.230,55.050,74.100,26.750,25.000,35.000
Thailand 1,Paris Nilthalak,46.200,31.020,71.400,42.000,22.500,28.750,36.000
India 2,Stuti Khandwala,45.500,38.100,76.050,31.250,25.250,23.000,37.000
India 4,Vishwesh Bharadiya,46.900,42.550,52.800,24.550,25.750,27.000,38.000
Indonesia 1,Aditya David Wirawan,49.500,38.600,54.450,67.450,23.000,24.250,39.000
Russia 4,Irina Iarutich,58.500,32.680,45.250,71.400,23.500,24.500,40.000
Germany 1,Ederer Bruno,62.400,26.900,43.600,51.950,27.000,24.250,41.000
Thailand 4,Rujeerada Wirojjananuwat,45.000,30.900,61.150,48.500,25.250,24.750,42.000
Hungary 2,Peter Vizkeleti,38.500,20.270,55.650,62.250,24.500,29.000,43.000
Turkey 3,Fatih Ozlugedik,48.600,33.050,31.000,50.550,24.500,28.500,44.000
Australia 1,Li-Shan Chen,34.750,44.180,64.700,79.000,21.250,20.750,45.000
Hungary 1,Peter Otott,55.600,44.780,48.750,84.450,18.500,21.000,46.000
Czech 3,Jiri Janousek,64.000,22.825,50.100,41.500,26.000,22.000,47.000
Thailand 2,Thitiwat Asavalertpalakorn,51.000,37.680,65.050,37.000,20.250,24.250,48.000
Japan 2,Shigetaka Toba,44.500,18.050,71.100,86.000,24.000,19.500,49.000
Thailand 3,Niravit Chavanachinda,52.400,24.340,44.800,52.500,22.250,27.500,50.000
Singapore 2,Jia Xin Ong,49.800,20.850,65.300,67.600,21.500,23.000,51.000
Estonia 4,Martin Rahe,45.000,37.020,66.400,47.100,25.750,18.000,52.000
India 3,Shaswat Jain,38.000,43.450,63.000,73.300,23.750,17.250,53.000
Lithuania 4,Paulius Valiukevicius,36.500,23.950,52.300,92.000,24.750,21.500,54.000
Ukraine 3,Lada Isakova,31.500,30.410,45.600,66.050,24.500,25.500,55.000
Hungary 4,Kinga Tomcsanyi,41.400,34.450,62.600,69.600,19.500,22.500,56.000
Denmark 1,Andreas Sixten Hallstein Rygaard,37.000,30.450,51.600,75.700,23.250,22.500,57.000
Philippines 1,Gabrielle Erwin Gemeniano Awitan,39.500,29.850,61.300,80.700,20.500,22.000,58.000
Czech 2,Lukas Fiedler,45.000,46.770,51.700,47.550,22.750,20.000,59.000
Czech 4,Jonas Vlasak,51.750,40.800,49.050,48.200,20.000,22.750,60.000
Japan 1,Kiyoshi Ishida,31.500,36.450,52.750,73.950,23.250,21.250,61.000
United Kingdom 3,Amir Guppy,47.900,24.500,64.750,82.950,21.250,18.250,62.000
Netherlands 3,Ward De Ridder,28.900,23.200,56.750,49.200,27.250,23.250,63.000
Estonia 2,Kirke Joamets,35.000,24.650,67.750,72.300,19.500,23.750,64.000
Kazakhstan 4,Amanzhol Kuantay,26.000,28.555,58.450,75.950,24.000,22.000,65.000
Romania 4,Mitrofan Andrei,45.500,24.600,55.100,87.200,19.500,22.000,66.000
Vietnam 2,Hoang Van Dong,35.650,31.030,36.600,38.200,29.250,23.250,67.000
Australia 3,Jessica Marjorie Law,41.900,36.230,79.450,74.850,18.250,16.250,68.000
Kazakhstan 1,Kairat Albakov,43.100,42.750,59.050,50.000,22.500,17.500,69.000
Estonia 1,Meeri Jyrgenson,55.500,17.250,63.700,51.850,21.500,20.250,70.000
Lithuania 3,Pavel Loginovic,48.000,26.600,37.400,33.600,23.500,25.500,71.000
Indonesia 4,Silingga Metta Jauhari,38.500,34.850,49.500,63.000,18.500,24.250,72.000
Poland 2,Kacper Ludwig,39.000,21.300,38.000,36.600,26.750,24.750,73.000
Bulgaria 4,Zdravko Plamenov Ivanov,59.250,15.250,58.650,67.700,18.000,21.250,74.000
Poland 3,Jaromir Bartosz Tomasik,45.500,25.900,49.200,39.250,23.750,21.000,75.000
Italy 3,Mattia Biavati,26.000,45.250,52.100,38.300,21.500,22.250,76.000
Germany 3,Kieran Elias Didi,35.000,28.980,56.500,53.550,24.750,18.000,77.000
Netherlands 4,Yelle Tanesha,32.900,17.400,49.000,70.500,20.750,24.500,78.000
Latvia 3,Arturs Sokolovskis,28.650,40.580,45.600,77.700,16.000,24.250,79.000
Netherlands 2,Tim Van Dijk,50.950,21.700,65.500,34.950,22.250,18.250,80.000
Portugal 4,Marco Antonio Ribeiro,35.900,35.450,48.800,76.300,19.250,19.750,81.000
Croatia 1,Luka Bulic Braculj,34.500,37.155,64.100,25.300,23.750,18.000,82.000
Belarus 4,Yana Barysovich,34.000,22.700,42.350,50.850,28.000,19.000,83.000
Belarus 2,Darya Pisetskaya,53.900,22.920,46.100,22.950,21.500,23.250,84.000
Latvia 1,Stanislavs Kurass,33.200,28.950,46.300,36.450,20.500,26.000,85.000
Hungary 3,Daniel Boros,35.650,15.500,60.150,33.150,22.250,24.250,86.000
Argentina 1,Maribel Gandara,33.900,28.865,58.400,41.950,25.000,17.750,87.000
Iran 3,Mahdi Masrour,46.600,41.850,45.000,47.250,19.750,18.500,88.000
Australia 2,Luke Oscar Hemmingsen,39.900,17.850,71.750,66.800,21.750,15.750,89.000
Sweden 2,Alexandru Golic,31.000,4.125,65.500,43.700,22.750,24.500,90.000
Poland 1,Jaromir Jan Hunia,37.500,21.020,56.200,48.800,21.500,21.250,91.000
Turkey 1,Birnur Sinem Karaoglan,40.000,9.975,50.950,88.750,17.000,24.000,92.000
Belarus 3,Maksim Kastsou,25.500,33.180,56.100,76.850,16.500,22.500,93.000
Ukraine 2,Roman Trokhymchuk,46.750,20.725,36.100,29.750,21.750,25.500,94.000
Lithuania 2,Urte Beatrice Baublyte,33.800,25.550,59.150,44.300,22.750,19.500,95.000
Ukraine 1,Vladyslav Yevtushok,56.500,23.550,42.600,40.400,22.250,19.000,96.000
Finland 4,Leevi Oskari Kaukonen,45.250,24.530,40.100,79.050,18.750,20.500,97.000
Japan 3,Masumi Suzuki,34.100,17.250,57.650,60.700,22.750,19.000,98.000
Spain 3,Elisa Maranon Pinero,42.600,28.125,48.600,27.350,23.000,19.500,99.000
Bangladesh 3,Auddithio Nag,44.000,13.250,71.350,26.300,22.250,18.750,100.000
Italy 2,Matilde Callegarin,41.400,18.830,62.450,39.500,23.250,17.250,101.000
Denmark 4,Claudia Charlott Lassen,41.000,33.200,54.800,71.950,17.750,16.750,102.000
Belarus 1,Kseniya Patseyeva,48.200,27.520,39.500,84.550,20.750,15.000,103.000
Switzerland 4,Henry Felix Stewart Wetton,34.000,30.680,59.950,44.000,18.250,20.750,104.000
Canada 3,Ruiyang (Michelle) Guo,30.000,15.100,48.400,35.350,27.500,20.000,105.000
Switzerland 1,Florin Robert Kalberer,31.000,22.350,45.150,53.100,20.750,23.000,106.000
Bulgaria 1,Ivan Georgiev,31.500,28.800,56.700,34.650,21.250,20.250,107.000
Finland 3,Anni Matilda Kauniskangas,37.200,19.650,53.900,33.450,24.500,18.500,108.000
Sri Lanka 2,Shakthi Sulakkana Senarathne,39.700,26.480,56.950,34.700,20.250,19.500,109.000
Slovakia 1,Dominik Kopcak,32.000,22.770,54.100,53.400,20.250,20.500,110.000
Spain 4,Joan Escriva Font,54.000,20.450,48.150,46.950,17.500,20.250,111.000
Italy 1,Alessandro Rosa,33.100,25.550,47.800,42.700,19.750,22.250,112.000
Romania 3,Gabroveanu Elena Diana,31.300,38.870,48.850,84.100,17.250,16.250,113.000
Slovenia 1,Bor Krajnik,26.500,31.590,51.350,41.450,24.500,16.500,114.000
Canada 1,Purab Patel,28.500,22.000,59.250,42.500,17.000,23.750,115.000
Netherlands 1,Emin Araftpoor,36.400,17.425,62.350,42.550,19.500,19.500,116.000
Finland 2,Juuso Osmo Mikael Huhtivuo,42.400,27.025,54.150,31.500,23.500,14.750,117.000
Bulgaria 3,Viktor Valyov Georgiev,42.000,11.260,63.000,35.200,25.250,14.250,118.000
Portugal 1,Joao Sousa,32.750,16.525,49.500,78.750,21.250,16.250,119.000
Brazil 1,Samuel Maia De Carvalho,32.200,25.405,46.100,28.750,20.500,21.750,120.000
Slovenia 4,Tim Zaversek,38.250,21.100,56.500,62.300,19.500,15.750,121.000
Bulgaria 2,Vanya Ivanova Milanova,51.800,40.280,45.950,44.850,19.000,12.500,122.000
Slovakia 3,Oliver Sporka,44.900,14.600,40.350,22.550,22.750,20.750,123.000
Estonia 3,Anna Pauliina Rumm,27.700,12.370,57.200,83.050,20.250,16.500,124.000
Canada 2,Ze Jia (Frank) Chen,33.500,25.200,60.900,54.750,17.000,17.750,125.000
Kazakhstan 3,Selimzhan Chalyshkan,36.000,26.520,51.650,31.700,19.250,19.500,126.000
Luxembourg 4,Maxime Marc Theisen,37.600,29.800,32.700,56.350,19.500,19.000,127.000
Cyprus 1,Avgoustinos Ioannou,32.850,34.650,61.400,33.000,16.500,18.000,128.000
Romania 1,Alda Silvia,38.400,17.925,27.900,22.900,25.250,20.750,129.000
Philippines 4,Nathan Ross Baoy Bantayan,45.300,8.000,70.000,42.450,17.750,17.250,130.000
Denmark 3,Mikkel Chuyi Yang,39.400,37.425,50.600,33.300,16.250,18.000,131.000
Slovakia 2,Simon Benjamin Spanyi,36.500,19.170,53.800,39.000,18.500,19.500,132.000
Syria 3,Abdullah Moustafa Bannan,52.400,16.550,31.850,61.950,18.250,18.000,133.000
Lithuania 1,Vakare Barbora Kucinskaite,54.600,21.200,37.800,33.200,18.500,18.250,134.000
Brazil 2,Julia Alexsandra Galiza Soares,49.600,17.025,42.400,40.200,18.750,18.250,135.000
Spain 1,Felix Haba Redondo,29.300,22.350,60.100,53.000,15.750,19.250,136.000
Syria 2,Hani George Nassour,37.800,14.000,36.450,48.450,22.000,18.500,137.000
Romania 2,Mekdad Magdy,39.100,16.070,47.150,43.500,18.000,19.750,138.000
Moldova 3,Andreea Jitaru,31.900,16.250,54.300,59.950,18.250,16.750,139.000
Greece 2,Aristotelis Anastopoulos,48.000,27.050,39.050,23.750,19.250,16.750,140.000
Turkey 4,Muhammet Usame Avci,47.700,10.750,43.500,74.300,16.750,15.500,141.000
Georgia 2,Anna Toidze,17.000,13.330,45.700,38.700,22.000,20.750,142.000
Argentina 4,Violeta Sampedro,30.500,5.700,44.450,47.500,19.500,21.000,143.000
Slovakia 4,Jana Hennelova,32.900,10.350,42.200,75.450,18.250,17.000,144.000
Georgia 4,Bachuki Dalakishvili,23.000,10.370,37.000,12.450,22.500,24.000,145.000
Kazakhstan 2,Turtemir Adilet,24.000,20.705,32.300,23.450,24.500,18.750,146.000
Mongolia 2,Bilguun Byambaa,32.500,21.180,56.950,67.750,19.000,10.750,147.000
Luxembourg 1,Philippe Louis Leonardo Isacco Furlano,26.000,26.020,47.950,45.100,18.750,16.000,148.000
Mexico 4,Jose Santiago Jara,24.200,7.500,43.850,26.450,23.250,19.750,149.000
Mongolia 4,Ashid Amarsanaa,54.500,25.800,51.150,34.450,16.500,11.750,150.000
Japan 4,Shoko Hama,17.500,25.680,49.350,29.750,19.750,18.500,151.000
Switzerland 3,Michelle Noemi Knecht,36.600,20.370,36.600,45.050,16.000,19.750,152.000
Brazil 3,Amarylis Lins Torres,29.850,17.600,30.700,39.950,19.000,21.000,153.000
Denmark 2,Rasmus Hildebrandt,25.200,20.625,45.050,42.950,20.750,16.000,154.000
Greece 4,Petroula Leventaki,30.400,33.750,47.650,26.700,18.750,14.500,155.000
Latvia 2,Ernests Tomass Auzins,28.500,20.100,44.550,31.500,18.750,18.000,156.000
Mexico 3,Edwin Chavez,33.500,4.880,48.900,24.250,17.500,21.750,157.000
Greece 3,Viktoria Zarrou,45.000,18.500,33.650,34.300,18.750,15.750,158.000
Spain 2,Carlos Ramon Guevara,24.000,22.510,40.000,16.100,20.250,19.250,159.000
Sweden 1,Ella Margareta Karinsdotter Ostlund,32.500,13.250,39.900,41.100,21.750,14.750,160.000
Slovenia 2,Tina Logonder,30.200,26.395,49.000,37.050,17.250,14.750,161.000
Australia 4,Sai Allison Campbell,29.500,15.380,49.150,30.300,16.750,19.000,162.000
Syria 4,Haya George Nassour,36.200,13.850,49.700,44.300,13.250,19.000,163.000
Luxembourg 3,Marie Everard,21.200,24.350,44.450,76.800,12.500,17.500,164.000
Argentina 3,Guillermo Fabian Pacheco,36.600,12.750,33.000,24.200,18.000,20.250,165.000
Philippines 2,Maria Janine Leano Juachon,40.600,17.520,38.750,35.500,18.250,15.000,166.000
Portugal 2,Filipa Oliveira,29.100,27.470,44.800,41.800,15.500,15.750,167.000
Turkmenistan 3,Kerimguly Gurbanmuhammedov,37.400,9.500,37.100,49.450,16.250,18.000,168.000
Iceland 3,Gizur Sigfusson,33.500,18.200,59.100,4.400,16.750,17.000,169.000
Costa Rica 2,Marco Andrey Vega Chaves,37.500,25.400,31.000,38.500,17.500,15.250,170.000
Pakistan 3,Laiba Naseer,28.000,20.800,37.300,85.950,14.000,14.500,171.000
Uzbekistan 2,Alisher Odilov,30.000,18.250,25.500,30.500,21.000,17.000,172.000
Uzbekistan 3,Khusen Egamov,21.600,23.600,40.350,81.450,14.750,14.000,173.000
Ukraine 4,Iryna Poplevicheva,51.800,14.100,24.800,31.400,17.750,15.750,174.000
Moldova 4,Ilinca Mazureac,35.900,26.610,35.500,28.800,21.250,10.500,175.000
Armenia 2,Artavazd Farsyan,33.000,22.950,39.700,23.700,17.250,15.750,176.000
Costa Rica 3,Joel Jose Rojas Gutierrez,51.900,14.525,41.900,31.950,13.250,15.500,177.000
Croatia 2,Kian Bigovic Villi,41.500,17.900,35.050,15.800,18.250,15.250,178.000
Costa Rica 1,Walter Alberto Chaves Umana,18.000,22.330,38.000,20.950,19.000,17.750,179.000
Iceland 2,Hera Gautadottir,21.200,26.750,47.900,43.300,13.750,16.000,180.000
Latvia 4,Anitra Zile,24.000,19.125,49.200,33.800,17.000,14.500,181.000
Mexico 2,Gerardo Cendejas,14.000,24.770,37.750,16.000,20.000,17.250,182.000
Georgia 1,Saba Birkadze,36.600,10.475,36.650,16.000,18.500,17.000,183.000
Uzbekistan 1,Khosiyatkhon Kudratova,19.000,7.700,26.400,0.000,25.750,18.500,184.000
Belgium 3,Zelda Amelie Fery,17.750,24.850,55.950,14.550,17.000,14.250,185.000
Brazil 4,Pedro Henrique Silva De Oliveira,35.900,8.900,36.350,7.800,19.000,17.000,186.000
Montenegro 1,Marko Susic,33.400,5.250,53.600,24.450,16.750,14.750,187.000
Belgium 4,Lucas Chojnacki,42.400,12.800,30.900,38.200,16.000,14.250,188.000
Greece 1,Achilleas Eleftherakis,21.000,16.080,51.050,13.600,20.750,12.250,189.000
Sweden 4,Miriam Rosen,25.500,16.500,61.150,40.950,15.750,10.250,190.000
Croatia 4,Mirna Reljic,32.400,18.700,27.350,22.700,19.500,14.000,191.000
Croatia 3,Elizabeta Gegic,30.000,19.250,32.350,32.800,17.750,13.500,192.000
Sri Lanka 3,Gunasinghe Arachchige Hasitha Geeth Gunasinghe,36.500,7.850,45.100,12.000,13.750,18.500,193.000
Pakistan 2,Ahmad Salik,17.500,16.320,57.150,47.800,12.500,14.750,194.000
Armenia 3,Lilit Grigoryan,24.500,16.080,36.150,13.700,16.500,18.000,195.000
Nigeria 2,Somkene Dike Alakwe,34.000,17.080,23.500,32.000,17.250,15.000,196.000
Slovenia 3,Klemen Kirbus,28.000,30.100,59.450,7.300,13.500,12.000,197.000
Norway 3,Bendik Bull-Hansen,29.900,16.150,32.550,24.700,12.250,19.750,198.000
Argentina 2,Mariano Brasca,33.500,6.100,34.600,20.300,17.750,15.750,199.000
Italy 4,Michele Russo,12.000,6.000,48.150,26.000,21.250,13.750,200.000
Kyrgyzstan 4,Medetbekov Aibek,17.500,15.310,43.700,28.700,17.000,14.750,201.000
Moldova 2,Dan Clipca,26.500,22.850,32.950,14.800,16.750,15.000,202.000
Bangladesh 2,Prokriti Projukti,27.650,25.350,56.500,22.700,13.000,11.500,203.000
Kyrgyzstan 1,Eminov Tilek,28.000,22.200,26.000,38.450,15.000,14.250,204.000
Canada 4,Valerie Liu,21.200,8.500,55.700,24.950,15.750,13.750,205.000
Sri Lanka 1,Chamod Madushanka Edirisinghe,29.000,16.950,40.550,54.950,12.500,12.500,206.000
Belgium 2,Wout Kerkaert,42.700,12.910,26.000,27.900,18.750,10.500,207.000
Azerbaijan 3,Nargiz Mammadli,21.000,4.250,48.600,68.600,14.750,11.250,208.000
Kyrgyzstan 3,Turdakunov Kadyrbek,28.200,14.230,20.900,48.700,17.000,13.250,209.000
Pakistan 4,Saad Khan,26.900,4.600,36.400,29.450,15.250,16.500,210.000
Sri Lanka 4,Udara Nirmani Samaranayake,23.000,22.100,37.500,43.350,10.500,15.500,211.000
Kyrgyzstan 2,Momunov Apyk,23.000,4.000,32.000,25.450,18.500,15.500,212.000
Qatar 2,Majed Bader Alnama,33.400,13.000,31.000,37.750,14.250,13.250,213.000
Sweden 3,Anna Lundgren,26.000,8.725,32.700,17.800,15.750,16.750,214.000
Pakistan 1,Muhammad Abdullah,24.500,16.350,43.400,50.950,12.750,11.500,215.000
Moldova 1,Dorina Bunciuc,20.400,22.750,38.000,40.200,12.250,13.250,216.000
Azerbaijan 2,Gunel Mahmudova,36.000,14.300,37.150,20.750,13.500,12.750,217.000
Azerbaijan 1,Vagif Mammedzada,32.200,25.600,30.150,5.800,17.500,10.250,218.000
Armenia 1,Anush Margaryan,27.400,16.000,32.100,20.200,15.750,13.250,219.000
Portugal 3,Tiago Rodrigues,27.200,11.000,32.000,10.000,14.500,17.000,220.000
Iraq 2,Mohammed Ahmed Mudheher Altalabani,31.200,9.000,34.050,30.300,16.000,12.000,221.000
Luxembourg 2,Letizia Schlim,29.700,22.100,37.200,7.200,14.500,12.750,222.000
Cyprus 4,Constantinos Tsiolakkis,17.500,21.000,33.100,45.000,13.500,12.500,223.000
Belgium 1,Pieter De Hoon,25.900,18.750,45.500,5.400,12.000,14.250,224.000
Mexico 1,Arieh Diaz De Leon,21.000,17.720,31.800,47.250,11.000,14.000,225.000
Iraq 3,Lazo Bakhtiar Ali,28.000,13.850,35.500,40.750,11.750,12.500,226.000
Bangladesh 4,Tamzid Hossain Tanim,11.500,0.750,47.000,34.400,12.750,17.000,227.000
Mongolia 3,Altanzul Bazarvaani,28.400,10.100,27.650,33.950,15.750,11.750,228.000
Philippines 3,Matthew Keizo Salcedo Yuda,19.500,5.850,26.100,32.850,13.250,17.750,229.000
Mongolia 1,Norjmaa Amarjargal,30.500,17.250,31.400,9.200,14.500,12.250,230.000
Uzbekistan 4,Elshod Jalolov,26.500,11.500,30.700,42.450,17.000,8.000,231.000
Bangladesh 1,Bayezid Mia,25.500,11.330,49.750,10.600,14.250,10.750,232.000
Norway 2,Rafael Bing,25.100,11.300,24.100,30.500,12.750,15.500,233.000
South Africa 3,Uluthando Luyolo Jili,14.000,19.000,42.550,24.050,12.750,13.000,234.000
Norway 4,Haakon Rolfsen Ask,27.400,7.500,32.050,14.000,17.250,11.250,235.000
Cyprus 3,Andreas Dramiotis,16.000,15.400,37.800,23.900,16.000,10.750,236.000
Qatar 4,Jassim Nasser Al-Ansari,17.000,10.125,40.200,9.600,14.250,14.500,237.000
South Africa 1,James Pretorius,28.500,12.375,33.000,34.750,12.750,10.750,238.000
Syria 1,Nour Talb Haedar,20.000,11.535,26.000,12.500,11.750,18.000,239.000
Cyprus 2,Georgios Petrou,17.000,3.250,45.050,39.750,14.250,10.500,240.000
Colombia 2,Andreis Alfonso Calderon,26.800,17.300,32.050,34.450,11.000,11.250,241.000
South Africa 2,Muhammad Zaid Bayat,26.000,13.375,26.450,16.050,12.250,14.000,242.000
Iceland 1,Arni Bjarnsteinsson,15.500,6.125,44.200,0.000,14.250,14.500,243.000
Armenia 4,Tigran Vagharshakyan,25.400,3.350,26.350,39.100,15.250,10.750,244.000
Turkmenistan 4,Azim Ovezmyradov,21.200,16.300,30.700,10.200,13.500,12.750,245.000
Iceland 4,Oern Steinar Sigurbjoernsson,18.200,0.000,34.000,41.500,13.000,13.250,246.000
South Africa 4,Okuhle Londiswa Aphiwe Mkhize,18.600,10.300,26.500,13.200,11.250,15.000,247.000
Georgia 3,Joni Gvazava,31.200,5.750,31.850,14.100,9.500,12.750,248.000
Nigeria 4,Emmanuel Chubiyojo Ogu,20.500,12.170,26.200,4.000,12.500,13.000,249.000
Azerbaijan 4,Inci Nasirova,17.700,4.900,38.550,8.800,13.000,11.250,250.000
Montenegro 2,Aleksa Petkovic,22.500,1.700,29.500,8.600,12.000,13.250,251.000
Iraq 1,Danyar Ahmed Mohammed,15.000,10.300,21.300,4.800,12.500,14.500,252.000
Norway 1,Victoria Dontsova,8.000,5.500,38.150,3.250,9.750,15.750,253.000
Montenegro 3,Luka Velasevic,12.000,5.100,29.050,3.400,13.250,13.250,254.000
Colombia 4,Carlos Andres Del Valle,18.000,9.400,32.500,17.800,12.250,7.500,255.000
Turkmenistan 1,Goshun Nurunyazov,13.200,8.000,23.000,4.400,14.500,10.500,256.000
Colombia 3,Maria Alejandra De Angel,14.600,1.000,26.150,10.200,14.000,10.000,257.000
Qatar 3,Amna Al-Mannai,17.200,8.700,32.550,4.800,7.250,11.000,258.000
Iraq 4,Rawand Fatah Abdalla,20.000,4.250,23.000,8.800,6.000,9.500,259.000
Nigeria 3,Chigozie Somtochi Akalonu,1.000,9.875,29.250,5.200,7.000,10.750,260.000
Qatar 1,Ghada Al-Khuzaei,14.000,5.275,18.400,0.000,9.250,6.750,261.000
