code	name	p1_animal	p2_plant	p3_evo	p4_bioch	t1	t2	rank
Vietnam 2	Hoang Van Dong	"35,65"	"31,03"	"36,6"	"38,2"	"29,25"	"23,25"	67
Australia 3	Jessica Marjorie Law	"41,9"	"36,23"	"79,45"	"74,85"	"18,25"	"16,25"	68
Kazakhstan 1	Kairat Albakov	"43,1"	"42,75"	"59,05"	50	"22,5"	"17,5"	69
Estonia 1	Meeri Jyrgenson	"55,5"	"17,25"	"63,7"	"51,85"	"21,5"	"20,25"	70
Lithuania 3	Pavel Loginovic	48	"26,6"	"37,4"	"33,6"	"23,5"	"25,5"	71
Indonesia 4	Silingga Metta Jauhari	"38,5"	"34,85"	"49,5"	63	"18,5"	"24,25"	72
Poland 2	Kacper Ludwig	39	"21,3"	38	"36,6"	"26,75"	"24,75"	73
Bulgaria 4	Zdravko Plamenov Ivanov	"59,25"	"15,25"	"58,65"	"67,7"	18	"21,25"	74
Poland 3	Jaromir Bartosz Tomasik	"45,5"	"25,9"	"49,2"	"39,25"	"23,75"	21	75
Italy 3	Mattia Biavati	26	"45,25"	"52,1"	"38,3"	"21,5"	"22,25"	76
Germany 3	Kieran Elias Didi	35	"28,98"	"56,5"	"53,55"	"24,75"	18	77
Netherlands 4	Yelle Tanesha	"32,9"	"17,4"	49	"70,5"	"20,75"	"24,5"	78
Latvia 3	Arturs Sokolovskis	"28,65"	"40,58"	"45,6"	"77,7"	16	"24,25"	79
Netherlands 2	Tim Van Dijk	"50,95"	"21,7"	"65,5"	"34,95"	"22,25"	"18,25"	80
Portugal 4	Marco Antonio Ribeiro	"35,9"	"35,45"	"48,8"	"76,3"	"19,25"	"19,75"	81
Croatia 1	Luka Bulic Braculj	"34,5"	"37,155"	"64,1"	"25,3"	"23,75"	18	82
Belarus 4	Yana Barysovich	34	"22,7"	"42,35"	"50,85"	28	19	83
Belarus 2	Darya Pisetskaya	"53,9"	"22,92"	"46,1"	"22,95"	"21,5"	"23,25"	84
Latvia 1	Stanislavs Kurass	"33,2"	"28,95"	"46,3"	"36,45"	"20,5"	26	85
Hungary 3	Daniel Boros	"35,65"	"15,5"	"60,15"	"33,15"	"22,25"	"24,25"	86
Argentina 1	Maribel Gandara	"33,9"	"28,865"	"58,4"	"41,95"	25	"17,75"	87
Iran 3	Mahdi Masrour	"46,6"	"41,85"	45	"47,25"	"19,75"	"18,5"	88
Australia 2	Luke Oscar Hemmingsen	"39,9"	"17,85"	"71,75"	"66,8"	"21,75"	"15,75"	89
Sweden 2	Alexandru Golic	31	"4,125"	"65,5"	"43,7"	"22,75"	"24,5"	90
Poland 1	Jaromir Jan Hunia	"37,5"	"21,02"	"56,2"	"48,8"	"21,5"	"21,25"	91
Turkey 1	Birnur Sinem Karaoglan	40	"9,975"	"50,95"	"88,75"	17	24	92
Belarus 3	Maksim Kastsou	"25,5"	"33,18"	"56,1"	"76,85"	"16,5"	"22,5"	93
Ukraine 2	Roman Trokhymchuk	"46,75"	"20,725"	"36,1"	"29,75"	"21,75"	"25,5"	94
Lithuania 2	Urte Beatrice Baublyte	"33,8"	"25,55"	"59,15"	"44,3"	"22,75"	"19,5"	95
Ukraine 1	Vladyslav Yevtushok	"56,5"	"23,55"	"42,6"	"40,4"	"22,25"	19	96
Finland 4	Leevi Oskari Kaukonen	"45,25"	"24,53"	"40,1"	"79,05"	"18,75"	"20,5"	97
Japan 3	Masumi Suzuki	"34,1"	"17,25"	"57,65"	"60,7"	"22,75"	19	98
Spain 3	Elisa Maranon Pinero	"42,6"	"28,125"	"48,6"	"27,35"	23	"19,5"	99
Bangladesh 3	Auddithio Nag	44	"13,25"	"71,35"	"26,3"	"22,25"	"18,75"	100
Italy 2	Matilde Callegarin	"41,4"	"18,83"	"62,45"	"39,5"	"23,25"	"17,25"	101
Denmark 4	Claudia Charlott Lassen	41	"33,2"	"54,8"	"71,95"	"17,75"	"16,75"	102
Belarus 1	Kseniya Patseyeva	"48,2"	"27,52"	"39,5"	"84,55"	"20,75"	15	103
Switzerland 4	Henry Felix Stewart Wetton	34	"30,68"	"59,95"	44	"18,25"	"20,75"	104
Canada 3	Ruiyang (Michelle) Guo	30	"15,1"	"48,4"	"35,35"	"27,5"	20	105
Switzerland 1	Florin Robert Kalberer	31	"22,35"	"45,15"	"53,1"	"20,75"	23	106
Bulgaria 1	Ivan Georgiev	"31,5"	"28,8"	"56,7"	"34,65"	"21,25"	"20,25"	107
Finland 3	Anni Matilda Kauniskangas	"37,2"	"19,65"	"53,9"	"33,45"	"24,5"	"18,5"	108
Sri Lanka 2	Shakthi Sulakkana Senarathne	"39,7"	"26,48"	"56,95"	"34,7"	"20,25"	"19,5"	109
Slovakia 1	Dominik Kopcak	32	"22,77"	"54,1"	"53,4"	"20,25"	"20,5"	110
Spain 4	Joan Escriva Font	54	"20,45"	"48,15"	"46,95"	"17,5"	"20,25"	111
Italy 1	Alessandro Rosa	"33,1"	"25,355"	"47,8"	"42,7"	"19,75"	"22,25"	112
Romania 3	Gabroveanu Elena Diana	"31,3"	"38,87"	"48,85"	"84,1"	"17,25"	"16,25"	113
Slovenia 1	Bor Krajnik	"26,5"	"31,59"	"51,35"	"41,45"	"24,5"	"16,5"	114
Canada 1	Purab Patel	"28,5"	22	"59,25"	"42,5"	17	"23,75"	115
Netherlands 1	Emin Araftpoor	"36,4"	"17,425"	"62,35"	"42,55"	"19,5"	"19,5"	116
Finland 2	Juuso Osmo Mikael Huhtivuo	"42,4"	"27,025"	"54,15"	"31,5"	"23,5"	"14,75"	117
Bulgaria 3	Viktor Valyov Georgiev	42	"11,26"	63	"35,2"	"25,25"	"14,25"	118
Portugal 1	Joao Sousa	"32,75"	"16,525"	"49,5"	"78,75"	"21,25"	"16,25"	119
Brazil 1	Samuel Maia De Carvalho	"32,2"	"25,405"	"46,1"	"28,75"	"20,5"	"21,75"	120
Slovenia 4	Tim Zaversek	"38,25"	"21,1"	"56,5"	"62,3"	"19,5"	"15,75"	121
Bulgaria 2	Vanya Ivanova Milanova	"51,8"	"40,28"	"45,95"	"44,85"	19	"12,5"	122
Slovakia 3	Oliver Sporka	"44,9"	"14,6"	"40,35"	"22,55"	"22,75"	"20,75"	123
Estonia 3	Anna Pauliina Rumm	"27,7"	"12,37"	"57,2"	"83,05"	"20,25"	"16,5"	124
Canada 2	Ze Jia (Frank) Chen	"33,5"	"25,2"	"60,9"	"54,75"	17	"17,75"	125
Kazakhstan 3	Selimzhan Chalyshkan	36	"26,52"	"51,65"	"31,7"	"19,25"	"19,5"	126
Luxembourg 4	Maxime Marc Theisen	"37,6"	"29,8"	"32,7"	"56,35"	"19,5"	19	127
Cyprus 1	Avgoustinos Ioannou	"32,85"	"34,65"	"61,4"	33	"16,5"	18	128
Romania 1	Alda Silvia	"38,4"	"17,925"	"27,9"	"22,9"	"25,25"	"20,75"	129
Philippines 4	Nathan Ross Baoy Bantayan	"45,3"	8	70	"42,45"	"17,75"	"17,25"	130
Denmark 3	Mikkel Chuyi Yang	"39,4"	"37,425"	"50,6"	"33,3"	"16,25"	18	131
Slovakia 2	Simon Benjamin Spanyi	"36,5"	"19,17"	"53,8"	39	"18,5"	"19,5"	132
Syria 3	Abdullah Moustafa Bannan	"52,4"	"16,55"	"31,85"	"61,95"	"18,25"	18	133
Lithuania 1	Vakare Barbora Kucinskaite	"54,6"	"21,2"	"37,8"	"33,2"	"18,5"	"18,25"	134
Brazil 2	Julia Alexsandra Galiza Soares	"49,6"	"17,025"	"42,4"	"40,2"	"18,75"	"18,25"	135
Spain 1	Felix Haba Redondo	"29,3"	"22,35"	"60,1"	53	"15,75"	"19,25"	136
Syria 2	Hani George Nassour	"37,8"	14	"36,45"	"48,45"	22	"18,5"	137
Romania 2	Mekdad Magdy	"39,1"	"16,07"	"47,15"	"43,5"	18	"19,75"	138
Moldova 3	Andreea Jitaru	"31,9"	"16,25"	"54,3"	"59,95"	"18,25"	"16,75"	139
Greece 2	Aristotelis Anastopoulos	48	"27,05"	"39,05"	"23,75"	"19,25"	"16,75"	140
Turkey 4	Muhammet Usame Avci	"47,7"	"10,75"	"43,5"	"74,3"	"16,75"	"15,5"	141
Georgia 2	Anna Toidze	17	"13,33"	"45,7"	"38,7"	22	"20,75"	142
Argentina 4	Violeta Sampedro	"30,5"	"5,7"	"44,45"	"47,5"	"19,5"	21	143
Slovakia 4	Jana Hennelova	"32,9"	"10,35"	"42,2"	"75,45"	"18,25"	17	144
Georgia 4	Bachuki Dalakishvili	23	"10,37"	37	"12,45"	"22,5"	24	145
Kazakhstan 2	Turtemir Adilet	24	"20,705"	"32,3"	"23,45"	"24,5"	"18,75"	146
Mongolia 2	Bilguun Byambaa	"32,5"	"21,18"	"56,95"	"67,75"	19	"10,75"	147
Luxembourg 1	Philippe Louis Leonardo Isacco Furlano	26	"26,02"	"47,95"	"45,1"	"18,75"	16	148
Mexico 4	Jose Santiago Jara	"24,2"	"7,5"	"43,85"	"26,45"	"23,25"	"19,75"	149
Mongolia 4	Ashid Amarsanaa	"54,5"	"25,8"	"51,15"	"34,45"	"16,5"	"11,75"	150
Japan 4	Shoko Hama	"17,5"	"25,68"	"49,35"	"29,75"	"19,75"	"18,5"	151
Switzerland 3	Michelle Noemi Knecht	"36,6"	"20,37"	"36,6"	"45,05"	16	"19,75"	152
Brazil 3	Amarylis Lins Torres	"29,85"	"17,6"	"30,7"	"39,95"	19	21	153
Denmark 2	Rasmus Hildebrandt	"25,2"	"20,625"	"45,05"	"42,95"	"20,75"	16	154
Greece 4	Petroula Leventaki	"30,4"	"33,75"	"47,65"	"26,7"	"18,75"	"14,5"	155
Latvia 2	Ernests Tomass Auzins	"28,5"	"20,1"	"44,55"	"31,5"	"18,75"	18	156
Mexico 3	Edwin Chavez	"33,5"	"4,88"	"48,9"	"24,25"	"17,5"	"21,75"	157
Greece 3	Viktoria Zarrou	45	"18,5"	"33,65"	"34,3"	"18,75"	"15,75"	158
Spain 2	Carlos Ramon Guevara	24	"22,51"	40	"16,1"	"20,25"	"19,25"	159
Sweden 1	Ella Margareta Karinsdotter Ostlund	"32,5"	"13,25"	"39,9"	"41,1"	"21,75"	"14,75"	160
Slovenia 2	Tina Logonder	"30,2"	"26,395"	49	"37,05"	"17,25"	"14,75"	161
Australia 4	Sai Allison Campbell	"29,5"	"15,38"	"49,15"	"30,3"	"16,75"	19	162
Syria 4	Haya George Nassour	"36,2"	"13,85"	"49,7"	"44,3"	"13,25"	19	163
Luxembourg 3	Marie Everard	"21,2"	"24,35"	"44,45"	"76,8"	"12,5"	"17,5"	164
Argentina 3	Guillermo Fabian Pacheco	"36,6"	"12,75"	33	"24,2"	18	"20,25"	165
Philippines 2	Maria Janine Leano Juachon	"40,6"	"17,52"	"38,75"	"35,5"	"18,25"	15	166
Portugal 2	Filipa Oliveira	"29,1"	"27,47"	"44,8"	"41,8"	"15,5"	"15,75"	167
Turkmenistan 3	Kerimguly Gurbanmuhammedov	"37,4"	"9,5"	"37,1"	"49,45"	"16,25"	18	168
Iceland 3	Gizur Sigfusson	"33,5"	"18,2"	"59,1"	"4,4"	"16,75"	17	169
Costa Rica 2	Marco Andrey Vega Chaves	"37,5"	"25,4"	31	"38,5"	"17,5"	"15,25"	170
Pakistan 3	Laiba Naseer	28	"20,8"	"37,3"	"85,95"	14	"14,5"	171
Uzbekistan 2	Alisher Odilov	30	"18,25"	"25,5"	"30,5"	21	17	172
Uzbekistan 3	Khusen Egamov	"21,6"	"23,6"	"40,35"	"81,45"	"14,75"	14	173
Ukraine 4	Iryna Poplevicheva	"51,8"	"14,1"	"24,8"	"31,4"	"17,75"	"15,75"	174
Moldova 4	Ilinca Mazureac	"35,9"	"26,61"	"35,5"	"28,8"	"21,25"	"10,5"	175
Armenia 2	Artavazd Farsyan	33	"22,95"	"39,7"	"23,7"	"17,25"	"15,75"	176
Costa Rica 3	Joel Jose Rojas Gutierrez	"51,9"	"14,525"	"41,9"	"31,95"	"13,25"	"15,5"	177
Croatia 2	Kian Bigovic Villi	"41,5"	"17,9"	"35,05"	"15,8"	"18,25"	"15,25"	178
Costa Rica 1	Walter Alberto Chaves Umana	18	"22,33"	38	"20,95"	19	"17,75"	179
Iceland 2	Hera Gautadottir	"21,2"	"26,75"	"47,9"	"43,3"	"13,75"	16	180
Latvia 4	Anitra Zile	24	"19,125"	"49,2"	"33,8"	17	"14,5"	181
Mexico 2	Gerardo Cendejas	14	"24,77"	"37,75"	16	20	"17,25"	182
Georgia 1	Saba Birkadze	"36,6"	"10,475"	"36,65"	16	"18,5"	17	183
Uzbekistan 1	Khosiyatkhon Kudratova	19	"7,7"	"26,4"	0	"25,75"	"18,5"	184
Belgium 3	Zelda Amelie Fery	"17,75"	"24,85"	"55,95"	"14,55"	17	"14,25"	185
Brazil 4	Pedro Henrique Silva De Oliveira	"35,9"	"8,9"	"36,35"	"7,8"	19	17	186
Montenegro 1	Marko Susic	"33,4"	"5,25"	"53,6"	"24,45"	"16,75"	"14,75"	187
Belgium 4	Lucas Chojnacki	"42,4"	"12,8"	"30,9"	"38,2"	16	"14,25"	188
Greece 1	Achilleas Eleftherakis	21	"16,08"	"51,05"	"13,6"	"20,75"	"12,25"	189
Sweden 4	Miriam Rosen	"25,5"	"16,5"	"61,15"	"40,95"	"15,75"	"10,25"	190
Croatia 4	Mirna Reljic	"32,4"	"18,7"	"27,35"	"22,7"	"19,5"	14	191
Croatia 3	Elizabeta Gegic	30	"19,25"	"32,35"	"32,8"	"17,75"	"13,5"	192
Sri Lanka 3	Gunasinghe Arachchige Hasitha Geeth Gunasinghe	"36,5"	"7,85"	"45,1"	12	"13,75"	"18,5"	193
Pakistan 2	Ahmad Salik	"17,5"	"16,32"	"57,15"	"47,8"	"12,5"	"14,75"	194
Armenia 3	Lilit Grigoryan	"24,5"	"16,08"	"36,15"	"13,7"	"16,5"	18	195
Nigeria 2	Somkene Dike Alakwe	34	"17,08"	"23,5"	32	"17,25"	15	196
Slovenia 3	Klemen Kirbus	28	"30,1"	"59,45"	"7,3"	"13,5"	12	197
Norway 3	Bendik Bull-Hansen	"29,9"	"16,15"	"32,55"	"24,7"	"12,25"	"19,75"	198
Argentina 2	Mariano Brasca	"33,5"	"6,1"	"34,6"	"20,3"	"17,75"	"15,75"	199
Italy 4	Michele Russo	12	6	"48,15"	26	"21,25"	"13,75"	200
Kyrgyzstan 4	Medetbekov Aibek	"17,5"	"15,31"	"43,7"	"28,7"	17	"14,75"	201
Moldova 2	Dan Clipca	"26,5"	"22,85"	"32,95"	"14,8"	"16,75"	15	202
Bangladesh 2	Prokriti Projukti	"27,65"	"25,35"	"56,5"	"22,7"	13	"11,5"	203
Kyrgyzstan 1	Eminov Tilek	28	"22,2"	26	"38,45"	15	"14,25"	204
Canada 4	Valerie Liu	"21,2"	"8,5"	"55,7"	"24,95"	"15,75"	"13,75"	205
Sri Lanka 1	Chamod Madushanka Edirisinghe	29	"16,95"	"40,55"	"54,95"	"12,5"	"12,5"	206
Belgium 2	Wout Kerkaert	"42,7"	"12,91"	26	"27,9"	"18,75"	"10,5"	207
Azerbaijan 3	Nargiz Mammadli	21	"4,25"	"48,6"	"68,6"	"14,75"	"11,25"	208
Kyrgyzstan 3	Turdakunov Kadyrbek	"28,2"	"14,23"	"20,9"	"48,7"	17	"13,25"	209
Pakistan 4	Saad Khan	"26,9"	"4,6"	"36,4"	"29,45"	"15,25"	"16,5"	210
Sri Lanka 4	Udara Nirmani Samaranayake	23	"22,1"	"37,5"	"43,35"	"10,5"	"15,5"	211
Kyrgyzstan 2	Momunov Apyk	23	4	32	"25,45"	"18,5"	"15,5"	212
Qatar 2	Majed Bader Alnama	"33,4"	13	31	"37,75"	"14,25"	"13,25"	213
Sweden 3	Anna Lundgren	26	"8,725"	"32,7"	"17,8"	"15,75"	"16,75"	214
Pakistan 1	Muhammad Abdullah	"24,5"	"16,35"	"43,4"	"50,95"	"12,75"	"11,5"	215
Moldova 1	Dorina Bunciuc	"20,4"	"22,75"	38	"40,2"	"12,25"	"13,25"	216
Azerbaijan 2	Gunel Mahmudova	36	"14,3"	"37,15"	"20,75"	"13,5"	"12,75"	217
Azerbaijan 1	Vagif Mammedzada	"32,2"	"25,6"	"30,15"	"5,8"	"17,5"	"10,25"	218
Armenia 1	Anush Margaryan	"27,4"	16	"32,1"	"20,2"	"15,75"	"13,25"	219
Portugal 3	Tiago Rodrigues	"27,2"	11	32	10	"14,5"	17	220
Iraq 2	Mohammed Ahmed Mudheher Altalabani	"31,2"	9	"34,05"	"30,3"	16	12	221
Luxembourg 2	Letizia Schlim	"29,7"	"22,1"	"37,2"	"7,2"	"14,5"	"12,75"	222
Cyprus 4	Constantinos Tsiolakkis	"17,5"	21	"33,1"	45	"13,5"	"12,5"	223
Belgium 1	Pieter De Hoon	"25,9"	"18,75"	"45,5"	"5,4"	12	"14,25"	224
Mexico 1	Arieh Diaz De Leon	21	"17,72"	"31,8"	"47,25"	11	14	225
Iraq 3	Lazo Bakhtiar Ali	28	"13,85"	"35,5"	"40,75"	"11,75"	"12,5"	226
Bangladesh 4	Tamzid Hossain Tanim	"11,5"	"0,75"	47	"34,4"	"12,75"	17	227
Mongolia 3	Altanzul Bazarvaani	"28,4"	"10,1"	"27,65"	"33,95"	"15,75"	"11,75"	228
Philippines 3	Matthew Keizo Salcedo Yuda	"19,5"	"5,85"	"26,1"	"32,85"	"13,25"	"17,75"	229
Mongolia 1	Norjmaa Amarjargal	"30,5"	"17,25"	"31,4"	"9,2"	"14,5"	"12,25"	230
Uzbekistan 4	Elshod Jalolov	"26,5"	"11,5"	"30,7"	"42,45"	17	8	231
Bangladesh 1	Bayezid Mia	"25,5"	"11,33"	"49,75"	"10,6"	"14,25"	"10,75"	232
Norway 2	Rafael Bing	"25,1"	"11,3"	"24,1"	"30,5"	"12,75"	"15,5"	233
South Africa 3	Uluthando Luyolo Jili	14	19	"42,55"	"24,05"	"12,75"	13	234
Norway 4	Haakon Rolfsen Ask	"27,4"	"7,5"	"32,05"	14	"17,25"	"11,25"	235
Cyprus 3	Andreas Dramiotis	16	"15,4"	"37,8"	"23,9"	16	"10,75"	236
Qatar 4	Jassim Nasser Al-Ansari	17	"10,125"	"40,2"	"9,6"	"14,25"	"14,5"	237
South Africa 1	James Pretorius	"28,5"	"12,375"	33	"34,75"	"12,75"	"10,75"	238
Syria 1	Nour Talb Haedar	20	"11,535"	26	"12,5"	"11,75"	18	239
Cyprus 2	Georgios Petrou	17	"3,25"	"45,05"	"39,75"	"14,25"	"10,5"	240
Colombia 2	Andreis Alfonso Calderon	"26,8"	"17,3"	"32,05"	"34,45"	11	"11,25"	241
South Africa 2	Muhammad Zaid Bayat	26	"13,375"	"26,45"	"16,05"	"12,25"	14	242
Iceland 1	Arni Bjarnsteinsson	"15,5"	"6,125"	"44,2"	0	"14,25"	"14,5"	243
Armenia 4	Tigran Vagharshakyan	"25,4"	"3,35"	"26,35"	"39,1"	"15,25"	"10,75"	244
Turkmenistan 4	Azim Ovezmyradov	"21,2"	"16,3"	"30,7"	"10,2"	"13,5"	"12,75"	245
Iceland 4	Oern Steinar Sigurbjoernsson	"18,2"	0	34	"41,5"	13	"13,25"	246
South Africa 4	Okuhle Londiswa Aphiwe Mkhize	"18,6"	"10,3"	"26,5"	"13,2"	"11,25"	15	247
Georgia 3	Joni Gvazava	"31,2"	"5,75"	"31,85"	"14,1"	"9,5"	"12,75"	248
Nigeria 4	Emmanuel Chubiyojo Ogu	"20,5"	"12,17"	"26,2"	4	"12,5"	13	249
Azerbaijan 4	Inci Nasirova	"17,7"	"4,9"	"38,55"	"8,8"	13	"11,25"	250
Montenegro 2	Aleksa Petkovic	"22,5"	"1,7"	"29,5"	"8,6"	12	"13,25"	251
Iraq 1	Danyar Ahmed Mohammed	15	"10,3"	"21,3"	"4,8"	"12,5"	"14,5"	252
Norway 1	Victoria Dontsova	8	"5,5"	"38,15"	"3,25"	"9,75"	"15,75"	253
Montenegro 3	Luka Velasevic	12	"5,1"	"29,05"	"3,4"	"13,25"	"13,25"	254
Colombia 4	Carlos Andres Del Valle	18	"9,4"	"32,5"	"17,8"	"12,25"	"7,5"	255
Turkmenistan 1	Goshun Nurunyazov	"13,2"	8	23	"4,4"	"14,5"	"10,5"	256
Colombia 3	Maria Alejandra De Angel	"14,6"	1	"26,15"	"10,2"	14	10	257
Qatar 3	Amna Al-Mannai	"17,2"	"8,7"	"32,55"	"4,8"	"7,25"	11	258
Iraq 4	Rawand Fatah Abdalla	20	"4,25"	23	"8,8"	6	"9,5"	259
Nigeria 3	Chigozie Somtochi Akalonu	1	"9,875"	"29,25"	"5,2"	7	"10,75"	260
Qatar 1	Ghada Al-Khuzaei	14	"5,275"	"18,4"	0	"9,25"	"6,75"	261
